 20 , 	 27 
 19 , 	 41 
 18 , 	 32 
 17 , 	 47 
 16 , 	 27 
 15 , 	 66 
 14 , 	 109 
 13 , 	 177 
 12 , 	 297 
 11 , 	 540 
 10 , 	 1013 
 9 , 	 1511 
 8 , 	 2340 
 7 , 	 3174 
 6 , 	 4479 
 5 , 	 6209 
 4 , 	 8743 
 3 , 	 13827 
 2 , 	 23132 
 1 , 	 50896 
